t, dist, e_dist, dist_err, input, output, error
0.023600, 0.875118, 126.334605, -125.459487, -1.570796, 0.967324, -2.538120, 
0.023700, 0.813189, 125.475901, -124.662712, -1.570796, 0.966645, -2.537441, 
0.023800, 0.751131, 124.625138, -123.874007, -1.570796, 0.965964, -2.536760, 
0.023900, 0.688955, 123.782111, -123.093157, -1.570796, 0.965280, -2.536076, 
0.024000, 0.626669, 122.946621, -122.319952, -1.570796, 0.964592, -2.535388, 
0.024100, 0.564285, 122.118472, -121.554187, -1.570796, 0.963902, -2.534698, 
0.024200, 0.501812, 121.297475, -120.795663, -1.570796, 0.963209, -2.534005, 
0.024300, 0.439259, 120.483442, -120.044183, -1.570796, 0.962514, -2.533310, 
0.024400, 0.376637, 119.676194, -119.299557, -1.570796, 0.961815, -2.532611, 
0.024500, 0.313956, 118.875555, -118.561599, -1.570796, 0.961113, -2.531909, 
0.024600, 0.251225, 118.081351, -117.830127, -1.570796, 0.960409, -2.531205, 
0.024700, 0.188454, 117.293417, -117.104963, -1.570796, 0.959702, -2.530498, 
0.024800, 0.125654, 116.511587, -116.385934, -1.570796, 0.958991, -2.529787, 
0.024900, 0.062833, 115.735704, -115.672870, -1.570796, 0.958278, -2.529074, 
0.025000, 0.000003, 114.965611, -114.965607, -1.570796, 0.957562, -2.528358, 
0.025100, -0.062827, 114.201156, -114.263983, -1.570796, 0.956844, -2.527640, 
0.025200, -0.125647, 113.442193, -113.567840, -1.570796, 0.956122, -2.526918, 
0.025300, -0.188448, 112.688576, -112.877024, -1.570796, 0.955397, -2.526193, 
0.025400, -0.251218, 111.940167, -112.191385, -1.570796, 0.954670, -2.525466, 
0.025500, -0.313949, 111.196826, -111.510775, -1.570796, 0.953940, -2.524736, 
0.025600, -0.376631, 110.458422, -110.835052, -1.570796, 0.953206, -2.524002, 
0.025700, -0.439253, 109.724823, -110.164076, -1.570796, 0.952470, -2.523266, 
0.025800, -0.501805, 108.995903, -109.497708, -1.570796, 0.951731, -2.522527, 
0.025900, -0.564279, 108.271538, -108.835817, -1.570796, 0.950990, -2.521786, 
0.026000, -0.626663, 107.551607, -108.178270, -1.570796, 0.950245, -2.521041, 
0.026100, -0.688948, 106.835993, -107.524941, -1.570796, 0.949497, -2.520293, 
0.026200, -0.751125, 106.124580, -106.875705, -1.570796, 0.948747, -2.519543, 
0.026300, -0.813182, 105.417257, -106.230440, -1.570796, 0.947994, -2.518790, 
0.026400, -0.875112, 104.713915, -105.589027, -1.570796, 0.947237, -2.518033, 
0.026500, -0.936903, 104.014447, -104.951350, -1.570796, 0.946478, -2.517274, 
0.026600, -0.998546, 103.318749, -104.317295, -1.570796, 0.945716, -2.516512, 
0.026700, -1.060032, 102.626721, -103.686753, -1.570796, 0.944952, -2.515748, 
0.026800, -1.121350, 101.938263, -103.059613, -1.570796, 0.944184, -2.514980, 
0.026900, -1.182492, 101.253280, -102.435771, -1.570796, 0.943413, -2.514209, 
0.027000, -1.243446, 100.571677, -101.815123, -1.570796, 0.942640, -2.513436, 
0.027100, -1.304204, 99.893364, -101.197568, -1.570796, 0.941864, -2.512660, 
0.027200, -1.364756, 99.218250, -100.583006, -1.570796, 0.941085, -2.511881, 
0.027300, -1.425093, 98.546250, -99.971343, -1.570796, 0.940302, -2.511098, 
0.027400, -1.485204, 97.877278, -99.362482, -1.570796, 0.939518, -2.510314, 
0.027500, -1.545082, 97.211251, -98.756333, -1.570796, 0.938730, -2.509526, 
0.027600, -1.604715, 96.548090, -98.152804, -1.570796, 0.937939, -2.508735, 
0.027700, -1.664094, 95.887715, -97.551809, -1.570796, 0.937145, -2.507941, 
0.027800, -1.723211, 95.230049, -96.953261, -1.570796, 0.936349, -2.507145, 
0.027900, -1.782056, 94.575019, -96.357075, -1.570796, 0.935550, -2.506346, 
0.028000, -1.840619, 93.922551, -95.763170, -1.570796, 0.934748, -2.505544, 
0.028100, -1.898892, 93.272574, -95.171466, -1.570796, 0.933942, -2.504738, 
